name,age,ht,wt,sex,cp60,w60,r60,cp75,w75,r75,cp90,w90,r90,cp105,w105,r105,cp120,w120,r120,cp135,w135,r135,cp150,w150,r150,cp165,w165,r165,cp180,w180,r180,ep,wep
61,34,160,50,f,,,,-5515.040926,9679305.822,0.867312891,-298.000625,107824.7186,0.85755934,12.6789016,25934.81157,0.824929996,60.99575576,18034.18181,0.810598859,87.33502506,14229.04332,0.784294956,100.0749091,12526.12467,0.771740122,107.7156544,11541.54495,0.74884861,110.2880363,11214.66442,0.726544175,128.199125,8139.22725
62,64,171,87,m,109.370054,12064.40043,0.902636105,131.250184,10697.26843,0.900183762,140.9302143,10083.29851,0.895396229,147.2708606,9684.133004,0.889195687,151.7312846,9405.196795,0.881790384,157.2316046,9071.302552,0.876771941,159.2397469,8952.365614,0.872955429,164.8884384,8627.235255,0.860606631,166.3540269,8545.377296,0.858224476,187.219625,5068.54425
63,26,173,65.9,f,187.0273029,5440.472119,0.860091335,195.3049946,4977.497515,0.852130359,199.2059231,4756.225274,0.8417009,200.160273,4702.899067,0.833564275,202.0745655,4594.745225,0.827931247,202.8768159,4549.864397,0.816069744,205.7023067,4395.82826,0.801307805,206.0326452,4378.287105,0.789669697,203.7227773,4503.36413,0.779816629,197.58575,5785.7415
64,31,186,81.8,m,148.8262608,22494.44492,0.900838755,217.1129522,17601.49819,0.894180561,236.2740484,16269.88763,0.889010864,245.9208076,15604.26239,0.886763367,260.1318544,14632.36245,0.866984763,262.1686986,14496.16163,0.863001807,262.6159015,14466.1177,0.857885367,262.5753926,14468.77329,0.855669056,262.8607215,14449.41957,0.852712226,263.65175,14820.6135
65,33,157,80.9,m,143.3212417,20069.19263,0.894675053,208.3016643,13547.23443,0.887280719,243.2758241,10441.75792,0.876632261,247.2466362,10106.5346,0.873156624,244.7878989,10329.41644,0.870883375,241.7111888,10620.07145,0.869241422,246.0639836,10198.41184,0.865046107,249.6664237,9855.938462,0.856434454,250.2163971,9804.386065,0.848817848,258.771875,8471.98275
66,53,186,73.6,m,-81.93194,52598.15252,0.923403477,94.49609016,26414.61682,0.918619279,175.825271,17110.70338,0.908980527,203.909792,14279.55559,0.90302017,212.1118802,13473.95474,0.900970068,213.6268686,13320.60786,0.899759651,218.6138647,12817.17405,0.896823936,222.0539322,12472.41049,0.892557582,225.9416731,12087.91298,0.888924651,240.032,9820.272
67,57,156,50,f,82.5867163,13282.71287,0.879992666,101.6874533,9816.738598,0.859009204,132.6575215,5100.141726,0.841278582,140.6745626,4109.753713,0.82867278,146.0694613,3490.319409,0.793192538,149.5768008,3103.786976,0.73519015,151.8173413,2866.966906,0.713396775,147.9636472,3303.540031,0.667165385,150.1893325,3039.163724,0.648719702,148.411625,3401.64825
68,45,185,70.6,m,174.8669312,15307.95272,0.945477495,194.0187666,13980.89909,0.943891614,204.5521388,13228.05684,0.94160632,210.1545532,12821.82466,0.939101864,210.4762372,12797.52055,0.93833762,208.8562053,12921.44059,0.936856189,208.2297719,12970.69442,0.936188152,209.3273676,12883.65115,0.934951753,209.4085345,12877.16889,0.932744648,211.7345,12806.409
69,48,180,77.3,m,321.3366217,5998.688118,0.871470196,298.7184586,7448.793368,0.863150014,272.3877157,9533.626048,0.849414785,259.9692861,10710.23334,0.842774514,246.1600915,12173.86964,0.835786667,254.448694,11250.32682,0.82532212,254.1140488,11290.19418,0.817386667,256.6845093,10996.81759,0.807039716,254.813801,11213.49484,0.799308301,258.1655,10794.399
70,38,178,66.8,m,276.1755441,10804.89293,0.952395846,258.53075,11826.21632,0.94921957,247.0716856,12573.43013,0.947307929,248.0002347,12507.66195,0.945986851,246.4894406,12618.52002,0.944944893,242.1576869,12946.12012,0.942828366,242.0384635,12955.24646,0.941339762,241.2624172,13016.88639,0.93968437,238.03107,13278.36562,0.937733774,225.5347586,15645.58221
71,23,170,74,m,39.40120759,33298.01616,0.799522699,178.0824436,16216.31719,0.790939383,217.2532283,12345.37618,0.783466747,230.3367574,11114.65733,0.777298117,239.7271148,10244.70763,0.77212222,239.4220675,10273.49443,0.771323278,243.7940601,9859.740825,0.766078056,244.7972663,9763.977488,0.76090374,242.6100157,9975.5606,0.757883077,239.7452414,10506.38979
72,29,173,63.6,f,,,,94.95671121,19384.24115,0.872509303,164.5332833,11120.73585,0.853057814,186.3267085,8949.819996,0.834533007,195.6249971,8060.696595,0.821334504,189.7134156,8646.201807,0.809699155,194.2684249,8180.84937,0.800150497,193.9431093,8213.822237,0.789375209,194.1848028,8187.617498,0.77747047,197.6873103,7574.155448
73,29,178,72.7,m,5.031378691,45300.00623,0.884157176,121.5232765,24412.97163,0.871562797,205.2701575,13122.8285,0.859361326,221.7419804,11235.73571,0.843222754,233.063649,9985.349201,0.834558578,232.4467808,10057.97634,0.822524326,231.7879643,10130.54805,0.811440599,228.9740436,10472.57059,0.803593527,229.1227474,10454.55784,0.781918368,231.023,10241.154
